scope,policy,original_n,traded_n,early_exit_n,ev_5bps,pf_5bps,cum_r_5bps,max_dd_r_5bps,max_dd_pct_025,ev_per_original_5bps,ev_0bps,ev_10bps
FULL,PARENT_HOLD,475,327,0,0.0862921691831024,1.1758411936896989,28.217539322874483,11.437994051043603,2.8594985127609007,0.05940534594289365,0.14819632137727456,0.02438801698893023
FULL,PERSISTENT_EXIT,475,327,59,0.10143810372376023,1.228426136288747,33.1702599176696,9.79446541559653,2.4486163538991326,0.06983212614246231,0.16334225591793242,0.039533951529588086
FULL,SEVERE_1R_CONTROL,475,327,0,0.0862921691831024,1.1758411936896989,28.217539322874483,11.437994051043603,2.8594985127609007,0.05940534594289365,0.14819632137727456,0.02438801698893023
FULL,OCO_PERSISTENT_OR_SEVERE,475,327,59,0.10143810372376023,1.228426136288747,33.1702599176696,9.79446541559653,2.4486163538991326,0.06983212614246231,0.16334225591793242,0.039533951529588086
2021,PARENT_HOLD,82,62,0,0.23791154499348713,1.5563696503464528,14.750515789596202,5.99079306074597,1.4976982651864925,0.17988433889751465,0.27713593148890525,0.19868715849806906
2021,PERSISTENT_EXIT,82,62,7,0.2732130411164964,1.6964165597414849,16.939208549222776,4.475545544054356,1.118886386013589,0.2065757140149119,0.31243742761191445,0.23398865462107826
2021,SEVERE_1R_CONTROL,82,62,0,0.23791154499348713,1.5563696503464528,14.750515789596202,5.99079306074597,1.4976982651864925,0.17988433889751465,0.27713593148890525,0.19868715849806906
2021,OCO_PERSISTENT_OR_SEVERE,82,62,7,0.2732130411164964,1.6964165597414849,16.939208549222776,4.475545544054356,1.118886386013589,0.2065757140149119,0.31243742761191445,0.23398865462107826
2022,PARENT_HOLD,79,49,0,-0.040079158003855045,0.9296201816712001,-1.9638787421888972,9.91142306964467,2.4778557674111674,-0.024859224584669586,0.01181550357959768,-0.09197381958730784
2022,PERSISTENT_EXIT,79,49,12,0.02337049318079851,1.0490717617666516,1.145154165859127,9.228603308708097,2.3071508271770242,0.014495622352647178,0.0752651547642512,-0.028524168402654305
2022,SEVERE_1R_CONTROL,79,49,0,-0.040079158003855045,0.9296201816712001,-1.9638787421888972,9.91142306964467,2.4778557674111674,-0.024859224584669586,0.01181550357959768,-0.09197381958730784
2022,OCO_PERSISTENT_OR_SEVERE,79,49,12,0.02337049318079851,1.0490717617666516,1.145154165859127,9.228603308708097,2.3071508271770242,0.014495622352647178,0.0752651547642512,-0.028524168402654305
2023,PARENT_HOLD,83,52,0,-0.0060068951755194505,0.9880787377645754,-0.31235854912701144,4.727398123011264,1.181849530752816,-0.003763356013578451,0.07668962589828592,-0.08870341624932482
2023,PERSISTENT_EXIT,83,52,8,-0.0233023643720275,0.9518419441626057,-1.21172294734543,4.706966042384634,1.1767415105961585,-0.014599071654764218,0.05939415670177787,-0.10599888544583286
2023,SEVERE_1R_CONTROL,83,52,0,-0.0060068951755194505,0.9880787377645754,-0.31235854912701144,4.727398123011264,1.181849530752816,-0.003763356013578451,0.07668962589828592,-0.08870341624932482
2023,OCO_PERSISTENT_OR_SEVERE,83,52,8,-0.0233023643720275,0.9518419441626057,-1.21172294734543,4.706966042384634,1.1767415105961585,-0.014599071654764218,0.05939415670177787,-0.10599888544583286
2024,PARENT_HOLD,94,64,0,0.08421963210031011,1.1774788454368232,5.390056454419847,7.7525774398010805,1.9381443599502701,0.05734102611084944,0.13914461189292032,0.02929465230769982
2024,PERSISTENT_EXIT,94,64,16,0.08498095521554028,1.1929960733900993,5.438781133794578,6.439452232456001,1.6098630581140003,0.05785937376377211,0.13990593500815052,0.030055975422929967
2024,SEVERE_1R_CONTROL,94,64,0,0.08421963210031011,1.1774788454368232,5.390056454419847,7.7525774398010805,1.9381443599502701,0.05734102611084944,0.13914461189292032,0.02929465230769982
2024,OCO_PERSISTENT_OR_SEVERE,94,64,16,0.08498095521554028,1.1929960733900993,5.438781133794578,6.439452232456001,1.6098630581140003,0.05785937376377211,0.13990593500815052,0.030055975422929967
2025_H1,PARENT_HOLD,46,32,0,-0.11448512025517509,0.7945679191825912,-3.6635238481656027,8.720811531898137,2.1802028829745344,-0.07964182278620875,-0.04225456826516366,-0.18671567224518654
2025_H1,PERSISTENT_EXIT,46,32,4,-0.054062418045191664,0.891193314601977,-1.7299973774461332,7.756823731886731,1.9392059329716826,-0.03760863864013333,0.01816813394481981,-0.1262929700352031
2025_H1,SEVERE_1R_CONTROL,46,32,0,-0.11448512025517509,0.7945679191825912,-3.6635238481656027,8.720811531898137,2.1802028829745344,-0.07964182278620875,-0.04225456826516366,-0.18671567224518654
2025_H1,OCO_PERSISTENT_OR_SEVERE,46,32,4,-0.054062418045191664,0.891193314601977,-1.7299973774461332,7.756823731886731,1.9392059329716826,-0.03760863864013333,0.01816813394481981,-0.1262929700352031
2025_H2,PARENT_HOLD,44,33,0,0.11684239681877037,1.2479041244479532,3.8557990950194223,3.1190448475880483,0.7797612118970121,0.08763179761407779,0.20075301147828783,0.03293178215925283
2025_H2,PERSISTENT_EXIT,44,33,4,0.2009614648033562,1.5190095822924214,6.631728338510754,3.1190448475880483,0.7797612118970121,0.15072109860251715,0.2848720794628737,0.11705085014383869
2025_H2,SEVERE_1R_CONTROL,44,33,0,0.11684239681877037,1.2479041244479532,3.8557990950194223,3.1190448475880483,0.7797612118970121,0.08763179761407779,0.20075301147828783,0.03293178215925283
2025_H2,OCO_PERSISTENT_OR_SEVERE,44,33,4,0.2009614648033562,1.5190095822924214,6.631728338510754,3.1190448475880483,0.7797612118970121,0.15072109860251715,0.2848720794628737,0.11705085014383869
2026_JAN_JUL,PARENT_HOLD,47,35,0,0.29031226066630084,1.631236981277441,10.160929123320528,2.693946198337092,0.673486549584273,0.2161899813472453,0.3580854503000097,0.22253907103259193
2026_JAN_JUL,PERSISTENT_EXIT,47,35,8,0.17020308728782677,1.3835147112111648,5.957108055073936,4.844609570599523,1.2111523926498808,0.12674697989519013,0.2379762769215356,0.10242989765411782
2026_JAN_JUL,SEVERE_1R_CONTROL,47,35,0,0.29031226066630084,1.631236981277441,10.160929123320528,2.693946198337092,0.673486549584273,0.2161899813472453,0.3580854503000097,0.22253907103259193
2026_JAN_JUL,OCO_PERSISTENT_OR_SEVERE,47,35,8,0.17020308728782677,1.3835147112111648,5.957108055073936,4.844609570599523,1.2111523926498808,0.12674697989519013,0.2379762769215356,0.10242989765411782
BAD_POOLED,PARENT_HOLD,125,81,0,-0.06947410605375927,0.8769624153771503,-5.627402590354501,13.523004755191064,3.380751188797766,-0.04501922072283601,-0.009545512457838906,-0.12940269964967965
BAD_POOLED,PERSISTENT_EXIT,125,81,16,-0.0072202865628025505,0.9850942385773355,-0.5848432115870066,10.359710458151174,2.5899276145377934,-0.004678745692696053,0.052708307033117824,-0.06714888015872296
BAD_POOLED,SEVERE_1R_CONTROL,125,81,0,-0.06947410605375927,0.8769624153771503,-5.627402590354501,13.523004755191064,3.380751188797766,-0.04501922072283601,-0.009545512457838906,-0.12940269964967965
BAD_POOLED,OCO_PERSISTENT_OR_SEVERE,125,81,16,-0.0072202865628025505,0.9850942385773355,-0.5848432115870066,10.359710458151174,2.5899276145377934,-0.004678745692696053,0.052708307033117824,-0.06714888015872296
RECENT_POOLED,PARENT_HOLD,91,68,0,0.20612835615205807,1.4428604075843914,14.01672821833995,3.1190448475880483,0.7797612118970121,0.15402998042131813,0.28173294322476233,0.13052376907935384
RECENT_POOLED,PERSISTENT_EXIT,91,68,12,0.18512994696448076,1.4446687635874078,12.588836393584693,4.844609570599523,1.2111523926498808,0.13833886146796365,0.260734534037185,0.10952535989177649
RECENT_POOLED,SEVERE_1R_CONTROL,91,68,0,0.20612835615205807,1.4428604075843914,14.01672821833995,3.1190448475880483,0.7797612118970121,0.15402998042131813,0.28173294322476233,0.13052376907935384
RECENT_POOLED,OCO_PERSISTENT_OR_SEVERE,91,68,12,0.18512994696448076,1.4446687635874078,12.588836393584693,4.844609570599523,1.2111523926498808,0.13833886146796365,0.260734534037185,0.10952535989177649
