parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R
0,2021-01-20 19:45:00+00:00,1903,2021-01-20 20:45:00+00:00,1907,2021-01-20 19:45:00+00:00,1907,-1.0,DEV_2021_2024,COLOR_ONLY_12H,34926.33,35108.14,34914.49,34957.15,193.65000000000146,1999,0.32540234353074626,0.32540234353074626,0.1321862974266721,0,34860.325,True,2021-01-20 21:00:00+00:00,1908.0,SL,-1.0,0.09000858507616766,-1.0900085850761676,0.0055550256631285416,2021-01-20 21:00:00+00:00,1,0,False,False,0.0
1,2021-02-12 03:45:00+00:00,4042,2021-02-12 04:00:00+00:00,4043,2021-02-12 03:45:00+00:00,4043,1.0,DEV_2021_2024,COLOR_ONLY_12H,47587.31,47587.31,47171.22,47370.82,416.0899999999965,4138,0.32448666175955265,0.32448666175955265,0.14976626135990373,1,47578.865,False,,,NO_FILL,0.0,0.0,0.0,0.008745269564542923,,2,0,False,False,0.0
2,2021-02-14 07:45:00+00:00,4250,2021-02-14 08:15:00+00:00,4252,2021-02-14 07:45:00+00:00,4252,1.0,DEV_2021_2024,COLOR_ONLY_12H,48864.92,49018.37,48756.98,48792.52,261.3899999999994,4346,0.31680329410935854,0.31680329410935854,0.15012123363911625,2,48923.215,True,2021-02-14 09:15:00+00:00,4256.0,SL,-1.0,0.09358279773518517,-1.093582797735185,0.005342862279185852,2021-02-14 09:45:00+00:00,2,0,False,False,0.0
3,2021-02-16 07:45:00+00:00,4442,2021-02-16 08:00:00+00:00,4443,2021-02-16 07:45:00+00:00,4443,1.0,DEV_2021_2024,COLOR_ONLY_12H,49161.75,49300.0,48928.23,49004.17,371.7699999999968,4538,0.3419328459211026,0.3419328459211026,0.1484178964319452,3,49190.05499999999,True,2021-02-16 08:15:00+00:00,4444.0,TP,1.5,0.06615656857734677,1.4338434314226531,0.007557828508221771,2021-02-16 12:00:00+00:00,2,1,True,True,1.4338434314226531
4,2021-02-28 07:45:00+00:00,5594,2021-02-28 08:00:00+00:00,5595,2021-02-28 07:45:00+00:00,5595,-1.0,DEV_2021_2024,COLOR_ONLY_12H,44400.83,44899.95,44375.02,44686.68,524.9300000000003,5690,0.4376914264670364,0.4376914264670364,0.1831005441394923,4,44424.215,False,,,NO_FILL,0.0,0.0,0.0,0.011816303338168167,,3,0,False,False,0.0
5,2021-02-28 19:45:00+00:00,5642,2021-02-28 20:45:00+00:00,5646,2021-02-28 19:45:00+00:00,5646,-1.0,DEV_2021_2024,COLOR_ONLY_12H,44232.82,44960.0,44219.9,44860.38,740.0999999999985,5738,0.32556741898410024,0.32556741898410024,0.21823937529876042,5,44490.33,False,,,NO_FILL,0.0,0.0,0.0,0.016635075532143693,,3,0,False,False,0.0
6,2021-03-09 07:45:00+00:00,6452,2021-03-09 09:15:00+00:00,6458,2021-03-09 07:45:00+00:00,6458,1.0,DEV_2021_2024,COLOR_ONLY_12H,54071.74,54127.6,53872.05,53932.35,255.54999999999563,6548,0.3221194084086891,0.3221194084086891,0.14415392988244524,6,54060.125,True,2021-03-09 09:30:00+00:00,6459.0,SL,-1.0,0.10577210917628825,-1.1057721091762882,0.004727144082630139,2021-03-09 10:00:00+00:00,4,0,False,False,0.0
7,2021-03-10 03:45:00+00:00,6532,2021-03-10 04:15:00+00:00,6534,2021-03-10 03:45:00+00:00,6534,1.0,DEV_2021_2024,COLOR_ONLY_12H,53537.91,53667.99,53382.82,53453.02,285.16999999999825,6628,0.34813528485611417,0.34813528485611417,0.18796446242975934,7,53595.604999999996,True,2021-03-10 04:30:00+00:00,6535.0,TP,1.5,0.09397132412245385,1.4060286758775462,0.00532077210435442,2021-03-10 05:00:00+00:00,4,1,True,True,1.4060286758775462
8,2021-03-23 07:45:00+00:00,7796,2021-03-23 08:30:00+00:00,7799,2021-03-23 07:45:00+00:00,7799,-1.0,DEV_2021_2024,COLOR_ONLY_12H,53918.66,54450.0,53916.34,54278.85,533.6600000000035,7892,0.406214499327815,0.406214499327815,0.23228647404708747,8,54012.02,False,,,NO_FILL,0.0,0.0,0.0,0.00988039329023435,,5,0,False,False,0.0
9,2021-03-25 03:45:00+00:00,7972,2021-03-25 04:00:00+00:00,7973,2021-03-25 03:45:00+00:00,7973,-1.0,DEV_2021_2024,COLOR_ONLY_12H,52131.51,52391.36,51905.58,52350.01,485.77999999999884,8068,0.4323304786315055,0.4323304786315055,0.1533294432245425,9,52107.12,False,,,NO_FILL,0.0,0.0,0.0,0.009322718277271875,,5,0,False,False,0.0
