R,signal_ts,entry_ts,exit_ts,hold_min,side,exit_reason,confirm_age_min,confirm_z,max_adverse_atr,signal_z,signal_abs_z,execution_delay_sec
0.06986129952105496,1609480800,1609482480,1609488000,92.0,-1,PROTECTED_STOP,25.0,1.4240585681081994,0.5364192574956477,1.5308934532624656,1.5308934532624656,180.0
-1.0242275580129498,1609526400,1609526700,1609527000,5.0,-1,SL,2.0,1.1193553233321842,0.23702980941668275,1.1193553233321842,1.1193553233321842,180.0
-1.033591974108451,1609540200,1609540980,1609546620,94.0,1,SL,10.0,-1.4492170041703218,0.359276001447507,-1.0472344273325496,1.0472344273325496,180.0
0.07280617998929947,1609590300,1609590540,1609590660,2.0,1,PROTECTED_STOP,1.0,-2.1108522868294135,0.0,-2.1108522868294135,2.1108522868294135,180.0
0.08439763202375394,1609595100,1609595340,1609597380,34.0,-1,PROTECTED_STOP,1.0,1.7543880797529434,0.0,1.7543880797529434,1.7543880797529434,180.0
1.562184568924781,1609614000,1609614240,1609620300,101.0,-1,EXIT_Z,1.0,1.4889798281234503,0.0,1.4889798281234503,1.4889798281234503,180.0
0.08975281527442504,1609668600,1609668900,1609669200,5.0,-1,PROTECTED_STOP,2.0,1.364188936246552,0.0,1.364188936246552,1.364188936246552,180.0
0.0888596929233452,1609725300,1609725840,1609728420,43.0,-1,PROTECTED_STOP,6.0,0.8563896458468452,0.011124772484448903,1.1078176301865728,1.1078176301865728,180.0
-1.0047721652389203,1609757700,1609758780,1609762740,66.0,-1,SL,15.0,1.566777893177002,0.3264733563930904,2.3737754461212215,2.3737754461212215,180.0
0.5416418946025373,1609766700,1609767360,1609771200,64.0,1,EXIT_Z,8.0,-1.186847758621507,0.0,-1.9818985946243959,1.9818985946243959,180.0
-1.012263692136691,1609866900,1609867860,1609870200,39.0,-1,SL,13.0,0.880066099130665,0.1120310850808224,1.0176493306102345,1.0176493306102345,180.0
0.08771330023410417,1609884600,1609885140,1609886400,21.0,1,PROTECTED_STOP,6.0,-1.3427541505717908,0.08719459046420185,-1.1731001114160704,1.1731001114160704,180.0
0.08814785912208643,1609907400,1609907640,1609907760,2.0,-1,PROTECTED_STOP,1.0,2.306057758397049,0.02783454743785698,2.306057758397049,2.306057758397049,180.0
-1.0110484672868008,1609943100,1609945080,1609947180,35.0,-1,SL,30.0,1.5904266058205792,0.6516229592993055,1.118237736898888,1.118237736898888,180.0
0.08749421610453985,1609949100,1609949340,1609950000,11.0,-1,PROTECTED_STOP,1.0,1.1592006749362564,0.0,1.1592006749362564,1.1592006749362564,180.0
-0.01913585248824201,1609994700,1609995900,1609996200,5.0,-1,EXIT_Z,17.0,-0.6902184609301957,0.18398343459533015,1.0335681343649585,1.0335681343649585,180.0
0.16561490476210877,1610020800,1610021100,1610021160,1.0,1,EXIT_Z,2.0,-1.3033695432734929,0.21794923117296724,-1.3033695432734929,1.3033695432734929,180.0
-1.0136365630031743,1610043000,1610043420,1610043540,2.0,1,SL,4.0,-1.8563897234263138,0.5333219616823776,-1.8563897234263138,1.8563897234263138,180.0
