fill_time,entry,family,gate,episode,activation,evidence,atr15,sl,tp,stop_dist,exit_time,exit_price,reason,holding_hours,gross_r,commission_r,net_comm_r,net20_r,net40_r,prio,variant
2023-03-30 13:52:00,1969.26,BOS_RETEST,75,8,2023-03-30 13:45:00,75,1.9464285714285714,1966.7153571428573,1973.076964285714,2.5446428571426623,2023-03-30 15:26:00,1973.076964285714,TP,1.5666666666666667,1.5,0.010834384842106092,1.4891656151578938,1.4105691239298177,1.3319726327017414,3,C0_E75_CORE
2023-03-30 17:15:00,1965.8,SWEEP_RECLAIM,75,8,2023-03-30 17:15:00,75,3.2392857142856593,1962.5607142857143,1970.6589285714285,3.239285714285643,2023-03-30 17:23:00,1970.6589285714285,TP,0.13333333333333333,1.500000000000035,0.008496070562293461,1.4915039294377417,1.4297619228225253,1.368019916207309,0,C0_E75_CORE
2023-03-31 03:15:00,1977.96,SWEEP_RECLAIM,75,8,2023-03-31 03:15:00,75,1.0549999999999662,1976.905,1979.5425,1.0550000000000637,2023-03-31 03:58:00,1979.5425,TP,0.7166666666666667,1.4999999999998923,0.0262478104265387,1.4737521895733536,1.2841787298577252,1.0946052701420967,0,C0_E75_CORE
2023-03-31 10:22:00,1979.755,OB_RETEST,75,8,2023-03-31 09:30:00,75,1.969285714285726,1977.3730714285714,1983.327892857143,2.381928571428716,2023-03-31 10:31:00,1977.3730714285714,SL,0.15,-1.0,0.01163618856268859,-1.0116361885626886,-1.0956017626772965,-1.1795673367919044,1,C0_E75_CORE
2023-04-04 16:17:00,1985.62,BOS_RETEST,75,9,2023-04-04 16:15:00,75,2.54142857142855,1979.365857142857,1995.001214285714,6.254142857142824,2023-04-04 17:00:00,1995.001214285714,TP,0.7166666666666667,1.4999999999999818,0.004444842504397108,1.4955551574955848,1.4635763548733227,1.431597552251061,3,C0_E75_CORE
2023-04-04 22:16:00,2021.1950000000002,FVG_RETEST,75,9,2023-04-04 22:15:00,75,2.3328571428571974,2017.5867142857142,2026.6074285714292,3.608285714286012,2023-04-05 06:16:00,2022.89,TIME,8.0,0.46975215773214724,0.007842153377147188,0.46191000435500007,0.4064820211417653,0.35105403792853046,2,C0_E75_CORE
2023-04-05 09:00:00,2024.09,BOS_RETEST,75,9,2023-04-05 09:00:00,75,1.3235714285714428,2021.9776428571427,2027.2585357142857,2.112357142857263,2023-04-05 10:28:00,2027.2585357142857,TP,1.4666666666666666,1.4999999999999463,0.013414994758731863,1.4865850052412144,1.3919040462583638,1.2972230872755133,3,C0_E75_CORE
2023-07-18 08:42:00,1960.435,FVG_RETEST,75,10,2023-07-18 08:30:00,75,1.1328571428571357,1959.3021428571428,1962.1342857142856,1.1328571428571195,2023-07-18 08:56:00,1959.3021428571428,SL,0.23333333333333334,-1.0,0.024227317780580574,-1.0242273177805805,-1.2007720844892853,-1.37731685119799,2,C0_E75_CORE
2023-07-18 11:51:00,1960.655,FVG_RETEST,75,10,2023-07-18 10:15:00,75,1.8792857142857429,1958.7757142857142,1963.4739285714286,1.8792857142857429,2023-07-18 13:20:00,1963.4739285714286,TP,1.4833333333333334,1.5,0.014606171797795293,1.4853938282022048,1.3789704150513131,1.2725470019004217,2,C0_E75_CORE
2023-07-19 01:15:00,1978.78,BOS_RETEST,75,10,2023-07-19 01:15:00,75,0.9742857142857052,1976.7625714285714,1981.8061428571427,2.0174285714285816,2023-07-19 02:48:00,1976.7625714285714,SL,1.55,-1.0,0.013731797195864539,-1.0137317971958646,-1.1128678968984558,-1.212003996601047,3,C0_E75_CORE
2023-07-19 04:13:00,1977.195,OB_RETEST,75,10,2023-07-19 03:45:00,75,0.7921428571428676,1976.402857142857,1978.383214285714,0.792142857142835,2023-07-19 04:30:00,1976.402857142857,SL,0.2833333333333333,-1.0,0.034944113615871124,-1.034944113615871,-1.2874238250676364,-1.5399035365194018,1,C0_E75_CORE
2023-11-03 13:27:00,1988.21,FVG_RETEST,75,11,2023-11-03 12:15:00,75,1.744285714285752,1986.1455714285714,1991.3066428571428,2.064428571428607,2023-11-03 15:29:00,1986.1455714285714,SL,2.033333333333333,-1.0,0.013483120891287568,-1.0134831208912876,-1.1103622296034859,-1.207241338315684,2,C0_E75_CORE
2023-11-03 22:00:00,1994.93,BOS_RETEST,75,11,2023-11-03 22:00:00,75,2.182142857142838,1989.6417857142856,2002.8623214285717,5.288214285714503,2023-11-06 01:05:00,1991.44,TIME,51.083333333333336,-0.6599581279124485,0.00528137070304564,-0.6652394986154941,-0.7030594486391301,-0.740879398662766,3,C0_E75_CORE
2023-11-28 20:23:00,2038.56,FVG_RETEST,75,13,2023-11-28 19:15:00,100,3.105714285714287,2034.9694285714286,2043.945857142857,3.5905714285713657,2023-11-29 01:31:00,2043.945857142857,TP,5.133333333333334,1.5,0.007948550966817996,1.492051449033182,1.4363500087530823,1.3806485684729828,2,C0_E75_CORE
2023-11-29 04:21:00,2046.6100000000001,FVG_RETEST,75,13,2023-11-29 03:15:00,100,2.2971428571428953,2043.6102857142857,2051.1095714285716,2.99971428571439,2023-11-29 05:50:00,2043.6102857142857,SL,1.4833333333333334,-1.0,0.009551756357748025,-1.009551756357748,-1.0762247728355057,-1.142897789313263,2,C0_E75_CORE
2023-11-29 07:38:00,2045.04,FVG_RETEST,75,13,2023-11-29 07:15:00,100,1.7842857142857806,2042.7515714285714,2048.472642857143,2.2884285714285397,2023-11-29 09:36:00,2042.7515714285714,SL,1.9666666666666666,-1.0,0.012511013171858591,-1.0125110131718587,-1.0999072301641815,-1.1873034471565043,2,C0_E75_CORE
2023-12-22 02:21:00,2046.975,FVG_RETEST,75,14,2023-12-22 01:30:00,75,2.182142857142805,2044.4817857142857,2050.714821428571,2.4932142857142026,2023-12-22 02:36:00,2050.714821428571,TP,0.25,1.5,0.011494258702192046,1.488505741297808,1.4082880074487865,1.3280702735997651,2,C0_E75_CORE
2023-12-22 08:45:00,2047.15,SWEEP_RECLAIM,75,14,2023-12-22 08:45:00,75,1.4550000000000247,2045.6950000000002,2049.3325,1.4549999999999272,2023-12-22 09:29:00,2049.3325,TP,0.7333333333333333,1.5,0.019697663230241535,1.4803023367697585,1.3428452920962122,1.2053882474226656,0,C0_E75_CORE
