src,fill_time,exit_time,real_R,window
CANON,2025-07-15 22:30:00+00:00,2025-07-16 21:45:00+00:00,1.1839316130245563,POOLED_RECENT
H4_BUY,2025-08-19 08:30:00+00:00,2025-08-19 08:45:00+00:00,1.266419336151881,POOLED_RECENT
H4_BUY,2025-08-20 04:30:00+00:00,2025-08-20 05:45:00+00:00,1.0966949062233855,POOLED_RECENT
H4_BUY,2025-08-26 04:15:00+00:00,2025-08-26 07:30:00+00:00,1.3237885293175216,POOLED_RECENT
H4_BUY,2025-09-22 07:45:00+00:00,2025-09-22 07:45:00+00:00,-1.2217553245834678,POOLED_RECENT
H4_BUY,2025-09-24 09:00:00+00:00,2025-09-24 09:30:00+00:00,1.1033834132074123,POOLED_RECENT
CANON,2025-10-14 10:30:00+00:00,2025-10-15 10:15:00+00:00,1.4109227255070167,POOLED_RECENT
CANON,2025-10-15 03:30:00+00:00,2025-10-16 03:15:00+00:00,1.4003407780210413,POOLED_RECENT
CANON,2025-10-17 11:15:00+00:00,2025-10-18 11:00:00+00:00,1.4574042903564022,POOLED_RECENT
CANON,2025-10-19 11:00:00+00:00,2025-10-20 10:15:00+00:00,-1.096296285571731,POOLED_RECENT
CANON,2025-10-21 04:45:00+00:00,2025-10-22 04:30:00+00:00,1.373933315770988,POOLED_RECENT
CANON,2025-11-03 04:00:00+00:00,2025-11-04 03:00:00+00:00,-1.056624127711451,POOLED_RECENT
H4_BUY,2025-11-17 04:00:00+00:00,2025-11-17 07:30:00+00:00,1.3768201840681402,POOLED_RECENT
CANON,2025-11-18 03:30:00+00:00,2025-11-19 03:15:00+00:00,1.4163377544552982,POOLED_RECENT
CANON,2025-11-19 05:45:00+00:00,2025-11-20 05:30:00+00:00,1.4124503206997086,POOLED_RECENT
CANON,2025-11-20 23:45:00+00:00,2025-11-21 23:30:00+00:00,-1.0820036712592844,POOLED_RECENT
CANON,2025-11-21 21:30:00+00:00,2025-11-22 21:15:00+00:00,1.425568036565561,POOLED_RECENT
H4_BUY,2026-01-26 00:15:00+00:00,2026-01-26 01:15:00+00:00,1.4025252194705795,POOLED_RECENT
CANON,2026-02-05 20:15:00+00:00,2026-02-06 19:45:00+00:00,-1.0444525,POOLED_RECENT
CANON,2026-02-06 00:00:00+00:00,2026-02-06 23:45:00+00:00,-1.034880257544283,POOLED_RECENT
CANON,2026-02-06 05:45:00+00:00,2026-02-07 05:30:00+00:00,1.4455458216263288,POOLED_RECENT
CANON,2026-02-06 09:45:00+00:00,2026-02-07 09:30:00+00:00,-1.065786027699839,POOLED_RECENT
H4_BUY,2026-02-24 16:15:00+00:00,2026-02-24 19:00:00+00:00,1.4323206995849918,POOLED_RECENT
H4_BUY,2026-03-27 21:30:00+00:00,2026-03-27 23:45:00+00:00,1.3090722357089128,POOLED_RECENT
CANON,2026-04-07 11:00:00+00:00,2026-04-08 10:45:00+00:00,1.3802015675029056,POOLED_RECENT
H4_BUY,2026-05-23 09:45:00+00:00,2026-05-23 11:15:00+00:00,1.078227075098828,POOLED_RECENT
H4_BUY,2026-05-28 09:00:00+00:00,2026-05-28 09:15:00+00:00,1.0760086206896466,POOLED_RECENT
CANON,2026-06-03 03:45:00+00:00,2026-06-04 03:30:00+00:00,1.437522232079828,POOLED_RECENT
CANON,2026-06-04 02:00:00+00:00,2026-06-05 01:45:00+00:00,1.4600713293355905,POOLED_RECENT
CANON,2026-06-05 03:00:00+00:00,2026-06-06 02:30:00+00:00,1.4143561659776038,POOLED_RECENT
CANON,2026-06-05 06:45:00+00:00,2026-06-06 06:30:00+00:00,1.443547344890511,POOLED_RECENT
CANON,2026-06-06 04:30:00+00:00,2026-06-07 04:00:00+00:00,1.4616447932717005,POOLED_RECENT
CANON,2026-06-06 10:30:00+00:00,2026-06-07 10:15:00+00:00,1.3855759065590558,POOLED_RECENT
H4_BUY,2026-07-01 05:00:00+00:00,2026-07-01 06:00:00+00:00,-1.170796277086218,POOLED_RECENT
CANON,2026-07-31 02:15:00+00:00,2026-08-01 02:00:00+00:00,-1.2190864965986394,POOLED_RECENT
