R,signal_ts,entry_ts,exit_ts,side,signal_z,signal_abs_z,confirm_z,confirm_age_min,max_adverse_atr,response_ratio,vol_state,prior_same_extreme_gap_min,exit_reason
0.09296952691161542,1609487100,1609488420,1609489500,-1,1.1981718881939474,1.1981718881939474,0.4862258821559075,22.0,0.6897471006825724,0.5586903876519378,0,20.0,PROTECTED_STOP
0.09314071578512324,1609501800,1609503540,1609503720,1,-1.1336790515860633,1.1336790515860633,-1.051568415398573,29.0,0.6444869394579457,0.6497390159557543,0,5.0,PROTECTED_STOP
0.09391028174167002,1609526400,1609526520,1609526880,-1,1.1193553233321842,1.1193553233321842,1.1193553233321842,2.0,0.23702980941668275,3.2017075638670214,0,35.0,PROTECTED_STOP
0.09071935733825774,1609561200,1609562160,1609563360,1,-1.2192756820706983,1.2192756820706983,-1.2315553805590742,16.0,0.3753498742824758,1.123356923195172,0,5.0,PROTECTED_STOP
0.09354820880373381,1609581900,1609582020,1609586580,1,-1.1796811315601472,1.1796811315601472,-1.1796811315601472,2.0,0.011163597532251681,36.38011370026609,0,5.0,PROTECTED_STOP
1.4853292321953837,1609590600,1609590960,1609591560,1,-1.218074831068706,1.218074831068706,-1.9801868932828344,6.0,0.6086865997932749,0.9208140911843338,0,5.0,PROTECTED_STOP
-1.0033624051905379,1609634700,1609635780,1609638420,-1,1.2265922956699598,1.2265922956699598,1.1899215295762524,18.0,0.2854213518832656,2.102656601357313,0,5.0,SL
0.20454621469551018,1609638600,1609639020,1609645200,-1,1.115074587700404,1.115074587700404,1.0264394556305774,7.0,0.16812142688637258,2.0721003011546193,0,5.0,EXIT_Z
0.09762598105160224,1609663200,1609664280,1609665540,-1,1.0833838692336843,1.0833838692336843,1.254565504777128,18.0,0.35748996971654123,1.4310414813465624,0,5.0,PROTECTED_STOP
0.09695980572656068,1609718400,1609718460,1609719300,-1,1.1190844697195368,1.1190844697195368,1.1190844697195368,1.0,0.22256411676181825,2.4483144559730277,0,5.0,PROTECTED_STOP
0.09625063158717129,1609731300,1609732200,1609737240,-1,1.0084666978563215,1.0084666978563215,2.31233964604482,15.0,0.11609744556649243,2.663755435571262,0,70.0,PROTECTED_STOP
0.09563901425607638,1609744200,1609744560,1609744680,-1,1.133942772578077,1.133942772578077,2.2474312524194455,6.0,0.3260378004910628,2.606595554099094,0,5.0,PROTECTED_STOP
-0.0014341880156260372,1609829700,1609831980,1609832400,-1,1.0560318784855343,1.0560318784855343,0.6620411199841014,38.0,0.32037013309937595,1.0750652398234233,0,305.0,EXIT_Z
0.09657831555111654,1609842600,1609842720,1609844340,-1,1.0300152728012428,1.0300152728012428,1.0300152728012428,2.0,0.0,447818525.9423301,0,25.0,PROTECTED_STOP
-1.003057012544919,1609866900,1609867680,1609869600,-1,1.0176493306102345,1.0176493306102345,0.880066099130665,13.0,0.1120310850808224,3.768354396743024,0,400.0,SL
-1.0035180087893065,1609891200,1609891260,1609891740,1,-1.2140208468334812,1.2140208468334812,-1.2140208468334812,1.0,0.0,509655855.40975654,0,5.0,SL
0.09618365105849536,1609906200,1609906260,1609906440,1,-1.0752386181003784,1.0752386181003784,-1.0752386181003784,1.0,0.0,502599784.6332335,0,5.0,PROTECTED_STOP
0.09770092439505525,1609916100,1609917360,1609920000,-1,1.2332055810562164,1.2332055810562164,1.115962032924934,21.0,0.47544585910949755,0.8954096436716449,0,5.0,PROTECTED_STOP
0.09747251229632985,1609978200,1609978260,1609980360,1,-1.0333467089270085,1.0333467089270085,-1.0333467089270085,1.0,0.0,388930450.0463389,0,5.0,PROTECTED_STOP
-1.0031731925839031,1609990800,1609990920,1609993200,1,-1.0684391469675054,1.0684391469675054,-1.0684391469675054,2.0,0.0,505135938.6134754,0,20.0,SL
0.096239120670763,1610005500,1610005560,1610005800,-1,1.051761302295735,1.051761302295735,1.051761302295735,1.0,0.0,482289024.451409,0,5.0,PROTECTED_STOP
1.2915502107657626,1610071200,1610071380,1610072700,-1,1.2459955117808081,1.2459955117808081,1.2459955117808081,3.0,0.0,369527369.27762836,0,25.0,EXIT_Z
-1.002563777870677,1610103600,1610103660,1610104080,-1,1.0867551812619811,1.0867551812619811,1.0867551812619811,1.0,0.0,623021526.2811124,0,5.0,SL
0.09773221524105644,1610104800,1610105400,1610105580,-1,1.1139747703204617,1.1139747703204617,0.9255785518709605,10.0,0.44449264488875007,1.1866577044270663,0,5.0,PROTECTED_STOP
0.0967245009275968,1610170800,1610171460,1610171700,-1,1.2095840674911942,1.2095840674911942,1.5268424379932513,11.0,0.20623559856783405,3.2284923438691076,0,5.0,PROTECTED_STOP
0.1267984344546118,1610182500,1610182920,1610183400,1,-1.1456371266218666,1.1456371266218666,-0.4095789609092159,7.0,0.17110906432445563,3.7262610160843797,0,5.0,EXIT_Z
-1.00341352324705,1610278200,1610278260,1610278980,1,-1.162705273324214,1.162705273324214,-1.162705273324214,1.0,0.0,633719607.9192649,0,70.0,SL
-1.0036462849584213,1610299500,1610299560,1610299800,1,-1.1738730847416754,1.1738730847416754,-1.1738730847416754,1.0,0.0,664087301.5873035,0,55.0,SL
-1.0019159042920396,1610308800,1610308860,1610310060,1,-1.0862768132717888,1.0862768132717888,-1.0862768132717888,1.0,0.0,511785844.8044809,0,5.0,SL
-1.0018112499783893,1610334000,1610334060,1610334840,1,-1.0619167824102627,1.0619167824102627,-1.0619167824102627,1.0,0.0,385927065.2170435,0,5.0,SL
0.47134710491206266,1610336700,1610336760,1610337600,1,-1.014828508078546,1.014828508078546,-1.014828508078546,1.0,0.0,1032850452.9888402,0,25.0,EXIT_Z
