impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h,p_cont,p_rev,router_conf,router_side
-1.0,-2.0133746615158055,-1.2758794214502795,-2.558519574563704,-1.0943920047040123,0.6128709227050199,1.0923916578383341,-0.025726465522939654,0.06540312923014312,-0.9978589232386035,1967,2021-01-21 11:45:00+00:00,DEV_2021_2024,34624.27,34681.73,32009.68,32208.62,31710.88,H4_DISPLACEMENT_EXTREME,-0.015400741890943204,0.015400741890943204,-0.015400741890943204,0.18317019943767307,0.37499786034342786,0.37499786034342786,REV
-1.0,4.090279469822919,-2.198393273268983,-3.119941671553821,-3.4132938412585427,1.8284255677166208,4.54883658089851,0.026338989400636705,0.06540312923014312,-0.9978589232386035,5130,2021-02-23 11:45:00+00:00,DEV_2021_2024,49642.92,50027.01,44892.56,46369.29,50360.02,H4_DISPLACEMENT_EXTREME,0.08630185978428417,-0.08630185978428417,0.08630185978428417,0.2116111820010654,0.46904796196023324,0.46904796196023324,REV
-1.0,-0.5392365287949953,-2.504858303604078,-2.9718748978898186,-3.3043250100160098,0.6708580895106321,1.3281361513700785,0.030869479526423466,-0.8968727415326885,0.442288690219001,5162,2021-02-23 19:45:00+00:00,DEV_2021_2024,48602.02,49247.69,45500.0,45523.0,48959.93,H4_DISPLACEMENT_EXTREME,0.0754982863614937,-0.0754982863614937,0.0754982863614937,0.2015699032866028,0.414111828655132,0.414111828655132,REV
1.0,2.1017795116966784,0.4647524504748542,3.0215126355602715,-2.1026944241720287,-0.23473456098141537,0.983486683702204,0.04194805700525118,-0.0654031292301428,0.9978589232386035,5178,2021-02-23 23:45:00+00:00,DEV_2021_2024,45523.02,48938.85,45251.0,48891.0,49676.2,H4_DISPLACEMENT_EXTREME,0.016060215581599868,0.016060215581599868,-0.016060215581599868,0.17873268198934175,0.3587655082444926,0.3587655082444926,REV
-1.0,7.283942542869461,-10.216165664429498,-6.8864957326036995,-4.734146185198275,4.433140896383871,12.671269511888875,0.15148822795955957,0.8314696123025451,0.5555702330196024,10276,2021-04-18 03:45:00+00:00,DEV_2021_2024,60006.67,60499.0,50931.3,55014.46,57030.9,H4_DISPLACEMENT_EXTREME,0.03692526601358792,-0.03692526601358792,0.03692526601358792,0.20944913431057682,0.5436204568343506,0.5436204568343506,REV
-1.0,-0.9626519006876648,-3.5829167088381744,-3.837364751941872,-4.531484568830361,2.3480961739476345,2.6059057884154426,-0.009385451261742958,0.06540312923014312,-0.9978589232386035,10308,2021-04-18 11:45:00+00:00,DEV_2021_2024,56184.51,56498.0,53064.66,53308.92,57107.4,H4_DISPLACEMENT_EXTREME,0.07144706536593715,-0.07144706536593715,0.07144706536593715,0.26290708261458584,0.40259022769713165,0.40259022769713165,REV
-1.0,-1.7056389153260807,-3.100171992295483,-3.274155488269935,-3.722697115045594,2.916192142380748,2.079391437715342,0.03599203133774062,0.8968727415326884,-0.44228869021900113,10762,2021-04-23 07:45:00+00:00,DEV_2021_2024,50298.76,50572.08,47700.0,47942.44,49805.2,H4_DISPLACEMENT_EXTREME,0.0389936582109478,-0.0389936582109478,0.0389936582109478,0.35270439566483675,0.35697079095080425,0.35697079095080425,REV
-1.0,-7.227103757236284,-7.779488058112364,-5.715245459280371,-3.3675405204857425,3.7566495858359983,11.603810823574314,-0.044664446927424876,-0.0654031292301428,0.9978589232386035,12632,2021-05-12 23:45:00+00:00,DEV_2021_2024,54437.0,54751.92,48600.0,49631.32,49670.97,H4_DISPLACEMENT_EXTREME,0.0027014069238944227,-0.0027014069238944227,0.0027014069238944227,0.21998553998200565,0.3176310297529835,0.3176310297529835,REV
-1.0,-3.6960155661278344,-3.7300242455765287,-4.243716983847813,-2.5450456233237424,2.1212305490353236,3.814784536230352,-0.010566218287817555,0.8314696123025451,0.5555702330196024,13032,2021-05-17 03:45:00+00:00,DEV_2021_2024,46426.83,46686.0,42777.0,42915.46,44779.83,H4_DISPLACEMENT_EXTREME,0.04344285252913527,-0.04344285252913527,0.04344285252913527,0.25880534627385826,0.3739977758156288,0.3739977758156288,REV
-1.0,-1.2071091466392694,-2.5078488152669345,-2.759848113248109,-1.9087103956997276,1.184818949155659,1.2193179976290884,0.007433656644750799,-0.8314696123025452,-0.5555702330196022,13080,2021-05-17 15:45:00+00:00,DEV_2021_2024,45733.55,45791.04,43156.0,43362.75,42969.47,H4_DISPLACEMENT_EXTREME,-0.008938118412251783,0.008938118412251783,-0.008938118412251783,0.19517433825813135,0.3457132282150012,0.3457132282150012,REV
